name,fips,mi2
"Camden, NJ",34007,227.59
"Colfax, NM",35007,3768.29
"Broome, NY",36007,715.5
"Tioga, NY",36107,522.94
"Anson, NC",37007,537.17
"Lenoir, NC",37107,402.11
"Billings, ND",38007,1153.47
"Ashtabula, OH",39007,1368.76
"Mercer, OH",39107,473.32
"Beaver, OK",40007,1817.68
"Okfuskee, OK",40107,628.94
"Clatsop, OR",41007,1084.8
"Beaver, PA",42007,443.94
"Schuylkill, PA",42107,782.63
"Providence, RI",44007,435.85
"Anderson, SC",45007,757.47
"Bennett, SD",46007,1190.7
"Potter, SD",46107,898.47
"Bledsoe, TN",47007,406.73
"McMinn, TN",47107,432.24
"Aransas, TX",48007,528.01
"Crosby, TX",48107,901.74
"Haskell, TX",48207,910.33
"McCulloch, TX",48307,1073.43
"San Jacinto, TX",48407,627.96
"Zavala, TX",48507,1301.82
"Carbon, UT",49007,1484.69
"Chittenden, VT",50007,619.62
"Amelia, VA",51007,358.57
"Loudoun, VA",51107,521.14
"Chelan, WA",53007,2993.87
"Braxton, WV",54007,516.2
"Wood, WV",54107,376.98
"Bayfield, WI",55007,2041.75
"Rusk, WI",55107,930.96
"Carbon, WY",56007,7964.44
"Blount, AL",1009,650.65
"Pike, AL",1109,672.15
"Graham, AZ",4009,4641.47
"Boone, AR",5009,601.86
"Pike, AR",5109,613.93
"Calaveras, CA",6009,1036.92
"Tuolumne, CA",6109,2274.52
"Baca, CO",8009,2557.24
"Saguache, CO",8109,3170.46
"New Haven, CT",9009,862.06
"Brevard, FL",12009,1557.25
"St. Johns, FL",12109,821.47
"Baldwin, GA",13009,267.52
"Evans, GA",13109,186.9
"Montgomery, GA",13209,247.34
"Wheeler, GA",13309,300.16
"Maui, HI",15009,2398.87
"Benewah, ID",16009,784.01
"Brown, IL",17009,307.26
"McDonough, IL",17109,590.06
"Blackford, IN",18009,165.42
"Morgan, IN",18109,409.41
"Audubon, IA",19009,443.6
"Kossuth, IA",19109,974.46
"Barton, KS",20009,900.5
"Logan, KS",20109,1073.17
"Wyandotte, KS",20209,155.7
"Barren, KY",21009,499.95
"Jackson, KY",21109,346.59
"Scott, KY",21209,285.31
"Avoyelles, LA",22009,865.74
"Terrebonne, LA",22109,2080.08
"Hancock, ME",23009,2351.18
"Calvert, MD",24009,345.11
"Essex, MA",25009,828.69
"Antrim, MI",26009,601.94
"Menominee, MI",26109,1338.13
"Benton, MN",27009,413.02
"Olmsted, MN",27109,654.53
"Benton, MS",28009,408.67
"Pearl River, MS",28109,818.98
"Barry, MO",29009,790.96
"Lawrence, MO",29109,613.42
"Stone, MO",29209,510.95
"Carbon, MT",30009,2062.26
"Wibaux, MT",30109,890.12
"Blaine, NE",31009,714.39
"Lancaster, NE",31109,846.73
"Esmeralda, NV",32009,3589.19
"Grafton, NH",33009,1750.3
"Cape May, NJ",34009,620.29
"Curry, NM",35009,1407.78
"Cattaraugus, NY",36009,1322.33
"Tompkins, NY",36109,491.65
"Ashe, NC",37009,426.81
"Lincoln, NC",37109,307.06
"Bottineau, ND",38009,1697.83
"Athens, OH",39009,508.58
"Miami, OH",39109,409.19
"Beckham, OK",40009,904.19
"Oklahoma, OK",40109,718.38
"Columbia, OR",41009,688.37
"Bedford, PA",42009,1017.49
"Snyder, PA",42109,332.18
"Washington, RI",44009,562.9
